"sp_name","esthe_score","file_name","copyright","iucn","rls","kingdom","phylum","class","order","family","genus","species","ages_mean","ED","ED_sd","esthe_score_mean","max_length","trophic_level","thermal_mp_5min_95max","thermal_95thmax","trophic_group","water_column","diel_activity","habitat","Di","Ui","iucn_code","threats"
"Axoclinus_multicinctus",1400.9381,"Axoclinus_multicinctus_A_1","YES",1,0,"Animalia","Chordata","Actinopterygii","Perciformes","Tripterygiidae","Axoclinus","Axoclinus multicinctus",8.32072910203036,16.4473524196805,6.95957634555217,1390.66906666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU","thr"
"Axoclinus_rubinoffi",1477.7041,"Axoclinus_rubinoffi_A_1","YES",1,0,"Animalia","Chordata","Actinopterygii","Perciformes","Tripterygiidae","Axoclinus","Axoclinus rubinoffi",7.37464708134979,15.7157937637909,4.28377659007375,1499.4036,0.136832357951385,0.222222222222222,0.9139086640849,0.828607086316678,"benthic invertivore","benthic","day","rock",0.543510746958432,0.0528193000371774,"VU","thr"
"Azurina_eupalama",1339.9508,"Azurina_eupalama_A_1","NO",1,0,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Azurina","Azurina eupalama",10.2103751663462,16.9209093767293,6.0458156741626,1331.66175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR","thr"
"Balistapus_undulatus",2007.7928,"Balistapus_undulatus_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistapus","Balistapus undulatus",7.41619266999825,13.6476115975644,4.53243186280391,1788.5306,0.543924469105433,0.518518518518518,0.932894807921905,0.932527467239995,"benthic invertivore","demersal","day","coral",0.407527713413453,0.00964615310960815,"NE","nev"
"Balistes_capriscus",1709.5105,"Balistes_capriscus_A_3","NO",1,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes","Balistes capriscus",9.58635114000031,15.408902060768,1.86547200687507,1655.8812,0.675264177381051,0.592592592592593,0.710067234656599,0.911288588047493,"benthic invertivore","demersal","day","sand",0.498543415798548,0.0309791010638197,"VU","thr"
"Balistes_polylepis",1553.6353,"Balistes_polylepis_A_4","NO",0,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes","Balistes polylepis",9.25356655999987,15.2293730307676,1.88787150803549,1548.670375,0.720055866680724,0.481481481481481,0.863644604425798,0.901283448209293,"benthic invertivore","demersal","day","sand",0.496920782808375,0.0228606052487482,"LC","nthr"
"Balistes_punctatus",1738.427,"Balistes_punctatus_A_2","NO",1,0,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes","Balistes punctatus",19.2342711500008,21.7317708755722,1.04562880228032,1713.0555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU","thr"
"Balistes_vetula",1785.4336,"Balistes_vetula_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes","Balistes vetula",9.15913975000001,14.8668777307677,0.661132489445081,1815.62435,0.675264177381051,0.518518518518518,0.755763363365398,0.901162730410913,"benthic invertivore","demersal","day","sand",0.495380218653332,0.0309791010638197,"NT","nthr"
"Balistoides_conspicillum",1706.7241,"Balistoides_conspicillum_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistoides","Balistoides conspicillum",4.85446621000098,12.0488629435672,3.56821173887622,1748.8381,0.64071731525239,0.481481481481481,0.872717392653418,0.934989903254488,"benthic invertivore","demersal","day","coral",0.410523798188318,0.0034511119346874,"NE","nev"
"Balistoides_viridescens",1607.5735,"Balistoides_viridescens_A_3","NO",0,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistoides","Balistoides viridescens",14.3032735522288,19.3499805869418,3.78032410318296,1621.6884,0.717546119449282,0.481481481481481,0.916214557667223,0.939446014916589,"benthic invertivore","demersal","day","coral",0.417404853099101,0.0157768981784583,"NE","nev"
