"sp_name","Importance"
"Chaetodon_octofasciatus",NA
"Chaetodon_ornatissimus","minor commercial"
"Chaetodon_oxycephalus",NA
"Chaetodon_paucifasciatus",NA
"Chaetodon_pelewensis",NA
"Chaetodon_plebeius","minor commercial"
"Chaetodon_punctatofasciatus","minor commercial"
"Chaetodon_quadrimaculatus",NA
"Chaetodon_rafflesii","minor commercial"
"Chaetodon_rainfordi",NA
"Chaetodon_reticulatus","minor commercial"
"Chaetodon_sedentarius",NA
"Chaetodon_semeion","minor commercial"
"Chaetodon_semilarvatus",NA
"Chaetodon_speculum","minor commercial"
"Chaetodon_striatus",NA
"Chaetodon_triangulum",NA
"Chaetodon_trichrous",NA
"Chaetodon_tricinctus",NA
"Chaetodon_trifascialis",NA
"Chaetodon_trifasciatus","minor commercial"
"Chaetodon_ulietensis","minor commercial"
"Chaetodon_unimaculatus","minor commercial"
"Chaetodon_vagabundus","minor commercial"
"Chaetodon_xanthocephalus",NA
"Chaetodon_xanthurus",NA
"Chaetodon_zanzibarensis",NA
"Chaetodontoplus_conspicillatus",NA
"Chaetodontoplus_duboulayi",NA
"Chaetodontoplus_meredithi",NA
"Chaetodontoplus_mesoleucus","minor commercial"
"Chaetodontoplus_personifer",NA
"Chaetodontoplus_septentrionalis",NA
"Chaetodontoplus_vanderloosi",NA
"Champsocephalus_esox","commercial"
"Chanos_chanos","highly commercial"
"Cheilinus_abudjubbe",NA
"Cheilinus_chlorourus","minor commercial"
"Cheilinus_fasciatus","minor commercial"
"Cheilinus_lunulatus","minor commercial"
"Cheilinus_oxycephalus","minor commercial"
"Cheilinus_trilobatus","minor commercial"
"Cheilinus_undulatus","minor commercial"
"Cheilio_inermis","minor commercial"
"Cheilodactylus_ephippium","commercial"
"Cheilodactylus_fasciatus","subsistence fisheries"
"Cheilodactylus_francisi",NA
"Cheilodactylus_fuscus",NA
"Cheilodactylus_gibbosus",NA
"Cheilodactylus_nigripes","commercial"
"Cheilodactylus_pixi",NA
"Cheilodactylus_plessisi",NA
"Cheilodactylus_rubrolabiatus",NA
"Cheilodactylus_spectabilis","commercial"
"Cheilodactylus_vestitus",NA
"Cheilodactylus_zebra","commercial"
"Cheilodactylus_zonatus","commercial"
"Cheilodipterus_arabicus",NA
"Cheilodipterus_artus",NA
"Cheilodipterus_intermedius",NA
"Cheilodipterus_isostigmus",NA
"Cheilodipterus_lachneri",NA
