"sp_name","esthe_score","file_name","copyright","iucn","rls","kingdom","phylum","class","order","family","genus","species","ages_mean","ED","ED_sd","esthe_score_mean"
"Acanthurus_leucopareius",1469.2407,"Acanthurus_leucopareius_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus leucopareius",5.25541269714253,9.58297640595125,5.28689362521684,1414.1322
"Acanthurus_leucosternon",1870.82,"Acanthurus_leucosternon_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus leucosternon",6.45388567896435,11.3201380012933,2.85892245167222,1828.54841900096
"Acanthurus_lineatus",1917.0204,"Acanthurus_lineatus_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus lineatus",8.36906958486026,13.5334977559877,3.47479001892999,1791.36549525599
"Acanthurus_maculiceps",1607.5024,"Acanthurus_maculiceps_A_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus maculiceps",3.86883975795487,7.90014191772602,1.23567748729459,1665.1069
"Acanthurus_mata",1683.412,"Acanthurus_mata_A_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus mata",2.79599929133565,6.88897095890346,1.06016403609472,1648.65005
"Acanthurus_nigricans",1709.461,"Acanthurus_nigricans_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus nigricans",5.54241659482552,10.5016192137722,2.6701186759798,1690.6646
"Acanthurus_nigricauda",1370.9316,"Acanthurus_nigricauda_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus nigricauda",4.28594976876023,8.40322759348599,1.33474026006767,1404.88195579486
"Acanthurus_nigrofuscus",1562.6637,"Acanthurus_nigrofuscus_A_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus nigrofuscus",8.06633536284361,12.8468419286426,4.04914759370641,1526.2824343873
"Acanthurus_nigroris",1560.4371,"Acanthurus_nigroris_A_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus nigroris",8.42183688485747,13.2962421126782,3.83584592500289,1501.65586666667
"Acanthurus_nubilus",1550.6538,"Acanthurus_nubilus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus nubilus",5.75686829109962,10.2315355491116,3.63658126372408,1523.2994
"Acanthurus_olivaceus",1649.809,"Acanthurus_olivaceus_J_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus olivaceus",3.56472858445652,8.55909993442573,2.23652810902143,1640.1262
"Acanthurus_pyroferus",1665.0464,"Acanthurus_pyroferus_J_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus pyroferus",5.23470237387379,9.53327540748053,2.63919975352247,1579.1724
"Acanthurus_reversus",1583.5986,"Acanthurus_reversus_J_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus reversus",3.24278956357484,8.26773825212541,1.55304644547471,1596.4939
"Acanthurus_sohal",1698.0228,"Acanthurus_sohal_A_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus sohal",4.29228316007426,8.22843853674211,1.18155338624617,1707.6387
"Acanthurus_tennentii",1662.25041852688,"Acanthurus_tennentii_8","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus tennentii",3.41154306622142,8.27059642379691,2.66074093674937,1600.23070926344
"Acanthurus_thompsoni",1360.3678,"Acanthurus_thompsoni_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus thompsoni",5.44416700630613,10.0902288053784,2.99717447842658,1324.29852232898
"Acanthurus_triostegus",1601.775,"Acanthurus_triostegus_A_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus triostegus",5.88601861805577,13.0062005101706,3.36938368370186,1538.01042523061
"Acanthurus_tristis",1478.122,"Acanthurus_tristis_J_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus tristis",5.61582752877883,9.94442622380803,3.06158272572604,1459.8941242049
"Acanthurus_xanthopterus",1486.7289,"Acanthurus_xanthopterus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus xanthopterus",3.73846563079334,7.41194236542681,0.856826417587526,1574.2198
"Achoerodus_gouldii",1513.0717,"Achoerodus_gouldii_A_1","NO",1,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Achoerodus","Achoerodus gouldii",17.1109501694894,38.3159497251594,10.8141462645059,1420.79346666667
