"name","kingdom","phylum","class","order","family","genus","species"
"Apogon_maculatus","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","Apogon maculatus"
"Apogon_pacificus","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","Apogon pacificus"
"Apogon_retrosella","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","Apogon retrosella"
"Apogon_townsendi","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","Apogon townsendi"
"Apogonichthyoides_timorensis","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogonichthyoides","Apogonichthyoides timorensis"
"Apolemichthys_trimaculatus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacanthidae","Apolemichthys","Apolemichthys trimaculatus"
"Aprion_virescens","Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Aprion","Aprion virescens"
"Aracana_aurita","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Aracanidae","Aracana","Aracana aurita"
"Aracana_ornata","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Aracanidae","Aracana","Aracana ornata"
"Archamia_bleekeri","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Archamia","Archamia bleekeri"
"Arcos_poecilophthalmos","Animalia","Chordata","Actinopterygii","Gobiesociformes","Gobiesocidae","Arcos","Arcos poecilophthalmos"
"Arenigobius_frenatus","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Arenigobius","Arenigobius frenatus"
"Argyrosomus_hololepidotus","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Argyrosomus","Argyrosomus hololepidotus"
"Argyrosomus_japonicus","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Argyrosomus","Argyrosomus japonicus"
"Arothron_caeruleopunctatus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron","Arothron caeruleopunctatus"
"Arothron_diadematus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron","Arothron diadematus"
"Arothron_hispidus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron","Arothron hispidus"
"Arothron_inconditus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron","Arothron inconditus"
"Arothron_manilensis","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron","Arothron manilensis"
"Arothron_mappa","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron","Arothron mappa"
"Arothron_meleagris","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron","Arothron meleagris"
"Arothron_nigropunctatus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron","Arothron nigropunctatus"
"Arothron_stellatus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron","Arothron stellatus"
"Arripis_georgianus","Animalia","Chordata","Actinopterygii","Perciformes","Arripidae","Arripis","Arripis georgianus"
"Arripis_trutta","Animalia","Chordata","Actinopterygii","Perciformes","Arripidae","Arripis","Arripis trutta"
"Arripis_truttacea","Animalia","Chordata","Actinopterygii","Perciformes","Arripidae","Arripis","Arripis truttacea"
"Arripis_xylabion","Animalia","Chordata","Actinopterygii","Perciformes","Arripidae","Arripis","Arripis xylabion"
"Artedius_harringtoni","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","Artedius harringtoni"
"Aspasmogaster_tasmaniensis","Animalia","Chordata","Actinopterygii","Gobiesociformes","Gobiesocidae","Aspasmogaster","Aspasmogaster tasmaniensis"
