"sp_worms","name_worms","mayo_campgn","fisheyes_campgn","esthe_mayo"
"Amphichthys_cryptocentrus","Amphichthys_cryptocentrus_A_2",0,0,NA
"Amphichthys_cryptocentrus","Amphichthys_cryptocentrus_A_1",0,0,NA
"Amphiprion_akallopisos","Amphiprion_akallopisos_A_1",0,0,NA
"Amphiprion_akallopisos","Amphiprion_akallopisos_141",1,0,1597.342538
"Amphiprion_akindynos","Amphiprion_akindynos_A_2",0,0,NA
"Amphiprion_akindynos","Amphiprion_akindynos_A_1",0,0,NA
"Amphiprion_allardi","Amphiprion_allardi_A_1",0,0,NA
"Amphiprion_bicinctus","Amphiprion_bicinctus_A_1",0,0,NA
"Amphiprion_bicinctus","Amphiprion_bicinctus_A_2",0,0,NA
"Amphiprion_bicinctus","Amphiprion_bicinctus_J_1",0,0,NA
"Amphiprion_chrysopterus","Amphiprion_chrysopterus_A_1",0,1,NA
"Amphiprion_chrysopterus","Amphiprion_chrysopterus_A_2",0,0,NA
"Amphiprion_clarkii","Amphiprion_clarkii_A_2",0,0,NA
"Amphiprion_clarkii","Amphiprion_clarkii_A_1",0,0,NA
"Amphiprion_clarkii","Amphiprion_clarkii_A_3",0,0,NA
"Amphiprion_ephippium","Amphiprion_ephippium_A_1",0,0,NA
"Amphiprion_frenatus","Amphiprion_frenatus_A_1",0,0,NA
"Amphiprion_frenatus","Amphiprion_frenatus_A_2",0,0,NA
"Amphiprion_frenatus","Amphiprion_frenatus_A_3",0,0,NA
"Amphiprion_fuscocaudatus","Amphiprion_fuscocaudatus_A_1",0,0,NA
"Amphiprion_latezonatus","Amphiprion_latezonatus_A_2",0,0,NA
"Amphiprion_latezonatus","Amphiprion_latezonatus_A_1",0,0,NA
"Amphiprion_leucokranos","Amphiprion_leucokranos_A_3",0,0,NA
"Amphiprion_leucokranos","Amphiprion_leucokranos_A_2",0,0,NA
"Amphiprion_leucokranos","Amphiprion_leucokranos_A_1",0,0,NA
"Amphiprion_mccullochi","Amphiprion_mccullochi_J_1",0,0,NA
"Amphiprion_mccullochi","Amphiprion_mccullochi_J_2",0,0,NA
"Amphiprion_mccullochi","Amphiprion_mccullochi_A_1",0,0,NA
"Amphiprion_melanopus","Amphiprion_melanopus_A_2",0,0,NA
