"","name","CL_cie_d_mean","CL_cie_d_sd","CL_hullarea","SH_n.core.cell_mean","SH_n.core.cell_sd","SH_perimeter_mean","SH_perimeter_sd","SH_perim.area.ratio_mean","SH_perim.area.ratio_sd","SH_core.area.index_mean","SH_core.area.index_sd"
"1041","Chromis_alta_J_2",34.0450890234045,20.9352612449486,769.508326941435,2381.33333333333,3045.70595264875,9624.44444444445,4990.34675927212,1.41237801051159,0.636103569212552,0.23350311575966,0.259347926305765
"1042","Chromis_alta_J_3",27.453937233352,19.5393917952585,505.572070322146,1606.11111111111,1555.27316285954,10467.5555555556,7753.5144791106,1.6942903250701,0.864226423534619,0.215844975803647,0.2269936722443
"1043","Chromis_amboinensis_A_1",36.3119193602904,31.3260587971742,1079.70682240323,2948.22222222222,3299.92271795029,8347.11111111111,7066.42937494681,1.19802782427861,0.478263310261773,0.266357731419075,0.137611138889741
"1044","Chromis_amboinensis_A_2",14.5373306235781,9.02766015794281,201.282989766263,3735.44444444444,2655.65783333956,5356.22222222222,3829.13716709711,0.823229345555787,0.417415402558451,0.438834986883168,0.18646946568384
"1045","Chromis_amboinensis_A_3",23.9855470576602,21.6772244305622,446.638804480261,2945.44444444444,2013.50571833749,5731.11111111111,3934.45766416556,0.777138136136587,0.110085870549423,0.423680631766326,0.0822285223433629
"1046","Chromis_analis_A_1",33.6279079855121,22.6015634195138,1417.92480346574,3176.11111111111,4434.34700504044,4541.77777777778,3451.21289468564,0.979752897839562,0.384844505138795,0.362972521853784,0.165151641330449
"1047","Chromis_analis_A_2",26.9168864377929,23.4642786572166,445.071847986688,2906.11111111111,3461.43649531681,5279.11111111111,4062.86833543878,1.17125726809713,0.816612000367515,0.359688865860086,0.229721878222297
"1048","Chromis_analis_A_3",45.0516099014837,26.8865779472443,1610.59263922172,970.888888888889,1725.57892056872,16983.5555555556,8794.17260336513,2.01553611175405,0.428285527380521,0.103606080721914,0.103043536388817
"1049","Chromis_atrilobata_A_2",9.97645330385433,4.8269457953393,151.654469751593,3296.11111111111,1824.97516725875,5284.66666666667,2372.56085274962,0.795629124704272,0.177383793475993,0.436064294628616,0.107771792328873
"1050","Chromis_atripectoralis_46",14.2743700151733,7.08164001948234,296.012658263137,1625.22222222222,1488.31933550715,7324.44444444444,3560.3589394579,1.40904594677235,0.571564109311136,0.232420331529763,0.196675938051305
"1051","Chromis_atripectoralis_A_1",16.0495271102619,7.63938116067918,354.455110837621,1428.22222222222,1394.09583402449,6473.77777777778,3306.82936427697,1.31583673354124,0.491450072258143,0.227742091920436,0.169014946550374
"1052","Chromis_atripectoralis_A_2",13.0541066472874,5.78363941372603,280.161047059058,2013.55555555556,1963.26807333532,7433.55555555556,3484.72994330662,1.21631379171648,0.300759544368189,0.275852153616657,0.137368857980597
