"sp_name","esthe_score","esthe_score_mean"
"Cheilodipterus_intermedius",1340.2144,1340.2144
"Cheilodipterus_isostigmus",1477.6123,1477.6123
"Cheilodipterus_lachneri",1355.42,1351.52615
"Cheilodipterus_macrodon",1489.8638,1473.0651
"Cheilodipterus_nigrotaeniatus",1467.0958,1467.0958
"Cheilodipterus_parazonatus",1405.7073,1405.7073
"Cheilodipterus_quinquelineatus",1476.8079,1459.35205
"Cheiloprion_labiatus",1677.394,1506.4622
"Chelidonichthys_capensis",1418.8435,1418.8435
"Chelmon_marginalis",1789.9014,1771.1625
"Chelmon_rostratus",1845.1283,1845.1283
"Chelmonops_curiosus",1709.9014,1708.5591
"Chelmonops_truncatus",1784.71,1721.47
"Chelon_auratus",1238.3239,1238.3239
"Chelon_labrosus",1249.8647,1249.8647
"Chelon_ramada",1166.307,1166.307
"Chelon_richardsonii",1305.5135,1305.5135
"Chelonodon_pleurospilus",1471.024,1462.07195
"Chilomycterus_antennatus",1513.525,1513.525
"Chilomycterus_reticulatus",1470.4744,1418.2692
"Chirodactylus_brachydactylus",1334.8536,1334.8536
"Chirolophis_ascanii",1306.2192,1306.2192
"Chironemus_maculosus",1471.2609,1464.15005
"Chironemus_marmoratus",1414.2512,1386.3056
"Chironemus_microlepis",1457.0002,1447.1933
"Chlorurus_atrilunula",1587.2574,1508.78625
"Chlorurus_bleekeri",1685.9778,1524.8379
"Chlorurus_bowersi",1817.583,1765.77995
"Chlorurus_capistratoides",1616.0753,1458.4415
"Chlorurus_frontalis",1677.8386,1613.5734
"Chlorurus_gibbus",1713.339,1613.13158
"Chlorurus_japanensis",1570.9104,1400.18765
"Chlorurus_microrhinos",1677.044,1575.18345
"Chlorurus_rhakoura",1351.505,1288.03035
"Chlorurus_sordidus",1750.5304,1459.09407202766
"Chlorurus_spilurus",1697.256,1528.905475
"Chlorurus_strongylocephalus",1648.4104,1531.32645
"Choerodon_anchorago",1500.608,1459.6717
"Choerodon_azurio",1615.019,1615.019
"Choerodon_cauteroma",1645.6299,1645.6299
"Choerodon_cephalotes",1544.4592,1544.4592
"Choerodon_cyanodus",1342.4523,1342.4523
"Choerodon_fasciatus",1706.669,1686.96425
"Choerodon_graphicus",1515.5522,1469.57657702222
"Choerodon_jordani",1494.7189,1443.11165
"Choerodon_monostigma",1354.4214,1354.4214
"Choerodon_rubescens",1335.7224,1335.7224
"Choerodon_schoenleinii",1671.9211,1512.5405
"Choerodon_vitta",1337.9247,1318.71445
"Chriolepis_dialepta",1440.769,1358.81556666667
"Chromis_abrupta",1385.793,1352.43295
"Chromis_acares",1451.294,1386.40375
"Chromis_agilis",1456.0469,1401.316225
"Chromis_alpha",1343.0466,1343.0466
"Chromis_alta",1668.2915,1545.57106666667
"Chromis_amboinensis",1430.2362,1359.11713333333
"Chromis_analis",1688.6995,1503.38883333333
"Chromis_atrilobata",1278.4672,1278.4672
"Chromis_atripectoralis",1553.55597624497,1482.97132541499
"Chromis_atripes",1331.33,1328.82596666667
"Chromis_bami",1327.6318,1327.6318
"Chromis_caudalis",1358.6924,1358.6924
"Chromis_chromis",1551.8577,1463.1023
"Chromis_chrysura",1514.6302,1454.9406
"Chromis_cinerascens",1293.7856,1293.7856
"Chromis_crusma",1362.1174,1362.1174
"Chromis_cyanea",1654.2737,1652.30555
"Chromis_dimidiata",1565.9506,1508.30340654375
